,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__criterion,param_classify__max_depth,param_classify__max_features,param_classify__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
291,0.033713150024414065,0.005984094827645347,0.0034978628158569337,0.0017455409381372982,gini,9,auto,5,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 5}",0.9190782422293676,0.9244372990353698,0.8987138263665595,0.8933547695605574,0.9153269024651661,0.8821007502679529,0.9094319399785638,0.9008574490889604,0.9137191854233655,0.8896034297963559,0.904662379421222,0.013156348025828095,945
292,0.026184797286987305,0.004328433376309197,0.002998661994934082,0.0006316604083594815,gini,9,auto,6,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 6}",0.9196141479099679,0.8922829581993569,0.9062165058949625,0.9222936763129689,0.9121114683815649,0.9147909967845659,0.8954983922829582,0.9078242229367631,0.9056806002143623,0.9180064308681672,0.9094319399785638,0.009453837972647351,850
293,0.028783750534057618,0.0041169189457404415,0.0026973724365234376,0.0008982002097334637,gini,9,auto,7,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 7}",0.9142550911039657,0.9163987138263665,0.9030010718113612,0.9035369774919614,0.8810289389067524,0.9228295819935691,0.8987138263665595,0.9056806002143623,0.9067524115755627,0.9121114683815649,0.9064308681672024,0.010896690269786785,906
294,0.02688438892364502,0.0036975906574358078,0.003030705451965332,0.0014145773815365359,gini,9,auto,8,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 8}",0.9083601286173634,0.9222936763129689,0.9121114683815649,0.8837084673097535,0.8858520900321544,0.9190782422293676,0.9062165058949625,0.9056806002143623,0.9131832797427653,0.9094319399785638,0.9065916398713828,0.012009669020230042,901
295,0.02648453712463379,0.003039208967767829,0.0029985666275024413,0.0011822847299513709,gini,9,auto,9,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 9}",0.9115755627009646,0.8933547695605574,0.8987138263665595,0.9131832797427653,0.902465166130761,0.9314040728831725,0.8928188638799571,0.8933547695605574,0.8858520900321544,0.8954983922829582,0.9018220793140408,0.012762658760345377,1002
296,0.02508561611175537,0.0042035613029017364,0.00359799861907959,0.0017425144032990857,gini,9,auto,10,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 10}",0.9040728831725616,0.912647374062165,0.8917470525187567,0.9131832797427653,0.8997856377277599,0.9158628081457664,0.9196141479099679,0.917470525187567,0.9142550911039657,0.8804930332261522,0.9069131832797428,0.012107317958291583,893
297,0.024411892890930174,0.004160184625512123,0.003397679328918457,0.0011985424877076864,gini,9,auto,11,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 11}",0.8890675241157556,0.9110396570203644,0.9008574490889604,0.9121114683815649,0.9056806002143623,0.9180064308681672,0.9019292604501608,0.9078242229367631,0.9019292604501608,0.897642015005359,0.9046087888531616,0.007791854820439814,948
298,0.022387027740478516,0.0027991535711225394,0.003199267387390137,0.0018863480361565334,gini,9,auto,15,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 15}",0.9110396570203644,0.9222936763129689,0.890139335476956,0.9072883172561629,0.8960342979635584,0.9153269024651661,0.9244372990353698,0.8858520900321544,0.8954983922829582,0.9217577706323687,0.9069667738478027,0.013511201474416413,892
299,0.021184849739074706,0.003053978019324268,0.0024013757705688477,0.0006653732247409179,gini,9,auto,20,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 20}",0.8922829581993569,0.9013933547695605,0.9239013933547695,0.905144694533762,0.8933547695605574,0.9030010718113612,0.9035369774919614,0.9169346195069668,0.9212218649517685,0.890139335476956,0.905091103965702,0.011402204111564325,938
300,0.02208702564239502,0.002839520585875898,0.002899456024169922,0.0008302477453374502,gini,9,auto,30,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 30}",0.9255091103965702,0.890139335476956,0.9067524115755627,0.8665594855305466,0.8938906752411575,0.9003215434083601,0.8858520900321544,0.8912111468381565,0.9094319399785638,0.8917470525187567,0.8961414790996785,0.014949367284819534,1126
