,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
19,0.027250051498413086,0.002748250961303711,0.022252559661865234,0.006247043609619141,5,euclidean,7,distance,"{'leaf_size': 5, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.3905579399141631,0.4334763948497854,0.41201716738197425,0.02145922746781115,43
20,0.02525031566619873,0.006749987602233887,0.024749398231506348,0.006250500679016113,5,manhattan,2,uniform,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.4248927038626609,0.39914163090128757,0.41201716738197425,0.012875536480686678,43
21,0.017499327659606934,0.008500218391418457,0.02099907398223877,0.008499503135681152,5,manhattan,2,distance,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}",0.49356223175965663,0.44635193133047213,0.4699570815450644,0.023605150214592252,7
22,0.010998964309692383,0.0010004043579101562,0.06075096130371094,0.02524876594543457,5,manhattan,3,uniform,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.3776824034334764,0.40772532188841204,0.3927038626609442,0.01502145922746781,55
23,0.008500218391418457,1.0728836059570312e-06,0.01324915885925293,0.0007486343383789062,5,manhattan,3,distance,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.4678111587982833,0.4592274678111588,0.463519313304721,0.004291845493562235,16
24,0.008000850677490234,4.76837158203125e-07,0.0214993953704834,0.004502296447753906,5,manhattan,5,uniform,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.38626609442060084,0.37339055793991416,0.3798283261802575,0.006437768240343339,64
25,0.0084991455078125,0.0009984970092773438,0.03625059127807617,0.022751331329345703,5,manhattan,5,distance,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.43776824034334766,0.43776824034334766,0.43776824034334766,0.0,25
26,0.009999394416809082,0.0015012025833129883,0.016250252723693848,0.0007497072219848633,5,manhattan,6,uniform,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}",0.34334763948497854,0.3648068669527897,0.3540772532188841,0.010729613733905574,85
27,0.013999104499816895,0.00299990177154541,0.014252185821533203,0.0002510547637939453,5,manhattan,6,distance,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}",0.41201716738197425,0.4291845493562232,0.4206008583690987,0.00858369098712447,34
28,0.02949965000152588,0.021499037742614746,0.018250346183776855,0.0007508993148803711,5,manhattan,7,uniform,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.3605150214592275,0.33905579399141633,0.3497854077253219,0.010729613733905574,88
29,0.013749122619628906,0.003250598907470703,0.013500332832336426,8.344650268554688e-07,5,manhattan,7,distance,"{'leaf_size': 5, 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.38197424892703863,0.43776824034334766,0.40987124463519314,0.027896995708154515,52
30,0.04850327968597412,0.030995965003967285,0.03549599647521973,0.002496004104614258,10,minkowski,2,uniform,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'uniform'}",0.44635193133047213,0.41630901287553645,0.4313304721030043,0.015021459227467837,28
31,0.010497212409973145,0.0005000829696655273,0.01150214672088623,0.0005010366439819336,10,minkowski,2,distance,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 2, 'weights': 'distance'}",0.4892703862660944,0.47639484978540775,0.48283261802575106,0.006437768240343339,1
32,0.007250785827636719,0.0002510547637939453,0.02499854564666748,0.0020014047622680664,10,minkowski,3,uniform,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'uniform'}",0.3948497854077253,0.3605150214592275,0.3776824034334764,0.017167381974248913,67
33,0.01675236225128174,0.003252387046813965,0.015998125076293945,0.0010025501251220703,10,minkowski,3,distance,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 3, 'weights': 'distance'}",0.4892703862660944,0.44635193133047213,0.4678111587982833,0.02145922746781115,10
34,0.02350437641143799,0.003006577491760254,0.02249443531036377,0.005005478858947754,10,minkowski,5,uniform,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'uniform'}",0.36909871244635195,0.4034334763948498,0.38626609442060084,0.017167381974248913,58
35,0.02225029468536377,0.0062493085861206055,0.020751953125,0.002748727798461914,10,minkowski,5,distance,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'}",0.4291845493562232,0.45064377682403434,0.43991416309012876,0.010729613733905574,19
36,0.02200150489807129,0.0029973983764648438,0.018998265266418457,0.0015016794204711914,10,minkowski,6,uniform,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'uniform'}",0.36909871244635195,0.3776824034334764,0.37339055793991416,0.004291845493562235,73
37,0.018749475479125977,0.005747795104980469,0.01900029182434082,0.0054988861083984375,10,minkowski,6,distance,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 6, 'weights': 'distance'}",0.39914163090128757,0.44206008583690987,0.4206008583690987,0.02145922746781115,34
38,0.013999700546264648,0.006999969482421875,0.015999674797058105,0.0004991292953491211,10,minkowski,7,uniform,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'uniform'}",0.36909871244635195,0.36909871244635195,0.36909871244635195,0.0,79
39,0.039250969886779785,0.017250418663024902,0.014999151229858398,0.0010001659393310547,10,minkowski,7,distance,"{'leaf_size': 10, 'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'}",0.3905579399141631,0.4334763948497854,0.41201716738197425,0.02145922746781115,43
40,0.029993772506713867,0.014003992080688477,0.029501795768737793,0.010500073432922363,10,euclidean,2,uniform,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}",0.44635193133047213,0.41630901287553645,0.4313304721030043,0.015021459227467837,28
41,0.04524862766265869,0.017747044563293457,0.013249039649963379,0.00024878978729248047,10,euclidean,2,distance,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}",0.4892703862660944,0.47639484978540775,0.48283261802575106,0.006437768240343339,1
42,0.011500120162963867,0.003499746322631836,0.019999146461486816,0.003998875617980957,10,euclidean,3,uniform,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.3948497854077253,0.3605150214592275,0.3776824034334764,0.017167381974248913,67
43,0.027248740196228027,0.012250542640686035,0.017750263214111328,0.005749940872192383,10,euclidean,3,distance,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.4892703862660944,0.44635193133047213,0.4678111587982833,0.02145922746781115,10
44,0.013001441955566406,0.003996372222900391,0.019747018814086914,0.0027532577514648438,10,euclidean,5,uniform,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.36909871244635195,0.4034334763948498,0.38626609442060084,0.017167381974248913,58
45,0.012249350547790527,0.0012494325637817383,0.016250967979431152,0.0002497434616088867,10,euclidean,5,distance,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.4291845493562232,0.45064377682403434,0.43991416309012876,0.010729613733905574,19
46,0.011501073837280273,0.0015017986297607422,0.017748117446899414,0.0002512931823730469,10,euclidean,6,uniform,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.36909871244635195,0.3776824034334764,0.37339055793991416,0.004291845493562235,73
47,0.01175081729888916,0.0017479658126831055,0.013500213623046875,0.0005025863647460938,10,euclidean,6,distance,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.39914163090128757,0.44206008583690987,0.4206008583690987,0.02145922746781115,34
48,0.009501218795776367,0.0024995803833007812,0.020748615264892578,0.0022499561309814453,10,euclidean,7,uniform,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.36909871244635195,0.36909871244635195,0.36909871244635195,0.0,79
49,0.012749910354614258,0.002749919891357422,0.017499685287475586,0.0010004043579101562,10,euclidean,7,distance,"{'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.3905579399141631,0.4334763948497854,0.41201716738197425,0.02145922746781115,43
50,0.010002851486206055,0.0009999275207519531,0.017998337745666504,0.0009993314743041992,10,manhattan,2,uniform,"{'leaf_size': 10, 'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}",0.4248927038626609,0.39914163090128757,0.41201716738197425,0.012875536480686678,43
