"","posXY","posX","posY","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90","angle"
"23-74","23-7",23,7,-57.6369474562135,-62.2810295941875,-54.903515372701,-60.6423554409023,-45.0252702463229,-76.225331386726,180
"23-84","23-8",23,8,-54.7666666666667,-62.0785345717234,-55.4807261317795,-60.7894771961432,-45.6489478114478,-70.1240073102159,180
"24-34","24-3",24,3,-54.8454545454545,-63.1155935774983,-46.3153116615711,-63.250981044635,-53.7679432624114,-76.8677957905681,180
"24-44","24-4",24,4,-59.608618293022,-61.8707709945795,-49.8994329257487,-64.2062354658656,-50.9787554179307,-75.0772236740225,180
"24-54","24-5",24,5,-58.8672226855713,-60.350398031553,-52.2753809200599,-64.632169485361,-55.834990011745,-78.801897627965,180
"24-64","24-6",24,6,-60.064192382541,-61.889308926338,-52.0087784900285,-66.721739365565,-54.5233111420122,-76.9736252438865,180
"24-74","24-7",24,7,-57.3878787878788,-63.7426148090815,-54.6453829343789,-67.7338047138047,-49.2776120804846,-72.9519489317353,180
"24-84","24-8",24,8,-57.3606060606061,-64.7489962998286,-56.3143297968241,-65.6571215382408,-45.0785402083539,-75.4654851984601,180
"25-34","25-3",25,3,-62.0515151515151,-64.6638138419195,-52.7257701947176,-62.659202180928,-52.1009523809524,-78.2399896399896,180
"25-44","25-4",25,4,-57.5151515151515,-58.5743233463598,-48.341847041847,-63.2850373949665,-53.2814826935586,-76.421632996633,180
"25-74","25-7",25,7,-57.9242424242424,-63.3674933038001,-55.0228134378064,-66.0949754901961,-49.6515505688016,-78.6852171136654,180
"25-84","25-8",25,8,-56.4282828282828,-63.1205146745137,-54.7107708989976,-63.9586250376393,-48.0095709570957,-78.6720520334978,180
"26-34","26-3",26,3,-59.3132996632997,-60.7660346441948,-47.6158593886504,-65.4079091538416,-50.5117425406691,-77.3608869179601,180
"26-44","26-4",26,4,-56.6334723380595,-65.2078877887789,-47.6953296582278,-62.3479853479854,-54.0360685941043,-76.1261392741077,180
"26-54","26-5",26,5,-59.0727272727273,-60.3795376625545,-51.1152280417691,-67.5790852010025,-46.8243732585956,-78.3768315018315,180
"26-64","26-6",26,6,-57.175924381429,-64.8341713092193,-54.595917041149,-67.039405964406,-51.2548094373866,-76.8849842140981,180
"26-74","26-7",26,7,-56.9878787878788,-66.8861936656026,-51.7785533234971,-65.9487104917398,-46.6844584409991,-77.0193632958802,180
"26-84","26-8",26,8,-57.998081734779,-64.1325672454886,-50.1099611085546,-63.8254615937784,-41.1098346223983,-77.133714778383,180
"27-34","27-3",27,3,-57.4606060606061,-62.0098447151681,-43.2982980567057,-61.9953288421626,-49.6654937755481,-78.6282122133186,180
"27-74","27-7",27,7,-52.7515151515152,-63.80189463471,-53.7365227365227,-62.4953084816541,-40.7540028007936,-75.3625080593166,180
"27-84","27-8",27,8,-59.5358632193495,-66.766911013717,-52.4251792114695,-67.88720821662,-42.367018300967,-78.0427353914502,180
"28-34","28-3",28,3,-61.5158886158886,-60.8967817896389,-43.0843855218855,-60.607777402226,-50.7333979525035,-79.6678574339983,180
"28-74","28-7",28,7,-57.4787878787879,-67.9703142471564,-50.1166798959509,-65.9543101204192,-41.69558101473,-79.2194007194007,180
"28-84","28-8",28,8,-57.6363636363636,-69.2693602693603,-50.5688334962529,-68.3145511765596,-43.4406919971079,-78.4076383161984,180
"29-34","29-3",29,3,-59.8757575757576,-63.8300713050028,-44.1306938656138,-63.4237486248625,-51.0606101373836,-71.7431941923775,180
"29-74","29-7",29,7,-56.3307125307125,-68.612320490574,-51.593063788823,-67.864468211527,-42.7255138572276,-80.5622482893451,180
"29-84","29-8",29,8,-58.5272727272727,-63.3439808894572,-47.6394927536232,-66.2992108664854,-45.1516122966753,-77.7806331566943,180
"3-34","3-3",3,3,-48.5727272727273,-56.916380518383,-55.2002864846646,-47.5247205968855,-60.2674389867161,-60.1371546240498,180
"3-74","3-7",3,7,-48.7368362524326,-61.1228956228956,-60.2131251549905,-47.3960806930198,-48.2652225169467,-57.1115890083632,180
"3-84","3-8",3,8,-51.2181818181818,-66.2833815307499,-58.5724333783226,-47.0393773241161,-55.5338053150553,-59.4913900913901,180
"30-34","30-3",30,3,-60.7563472563473,-63.9294143859361,-41.7758088396578,-61.4774380079429,-48.3575459948045,-77.3663523325912,180
"30-74","30-7",30,7,-56.9964646464646,-67.3842884941967,-45.5434782608696,-66.5301941049605,-41.9568532242951,-80.997224997225,180
"30-84","30-8",30,8,-58.0181818181818,-64.9963408521303,-50.3224962528332,-67.5408971826875,-39.1603725380899,-80.458985146937,180
"31-34","31-3",31,3,-59.7,-68.1235227842948,-41.0911963836635,-61.9183787762417,-43.4846820072675,-80.3385620915033,180
"31-74","31-7",31,7,-58.629218793439,-69.3717013683838,-41.1031044527674,-68.9306032836961,-41.0563911359677,-79.8945266728338,180
"31-84","31-8",31,8,-57.4393939393939,-68.5287640581758,-45.2976221870063,-69.8734759604325,-38.6302632075828,-79.0187099243947,180
"32-34","32-3",32,3,-59.1363636363636,-68.0307045614142,-40.1183550273533,-66.0927943993131,-46.1516613373599,-80.6761229314421,180
"32-44","32-4",32,4,-59.8787878787879,-68.0923986951732,-38.1912675138482,-70.2888396278051,-41.6147962343614,-76.4622393777694,180
"32-54","32-5",32,5,-64.8181818181818,-68.1972481484823,-40.2662131519274,-69.3205958337769,-44.3913638193529,-77.5139378077685,180
"32-64","32-6",32,6,-62.5212121212121,-68.3392643256429,-47.8269561557605,-71.6140022517193,-46.7770007041425,-80.3081746598982,180
"32-74","32-7",32,7,-60.2560189046428,-65.2867592592593,-43.0798024922767,-65.334775464726,-39.465708561972,-76.9922179118678,180
"32-84","32-8",32,8,-58.4363636363636,-71.5210390454956,-40.2533062574209,-67.5338970479157,-36.0709617180205,-78.0805305479123,180
"33-34","33-3",33,3,-57.8575757575758,-66.1616338918131,-38.9854771751546,-67.8578551005722,-53.5122549019608,-77.9600086320476,180
"33-44","33-4",33,4,-58.7164303586322,-67.6650979364647,-39.0607315080504,-65.1629355351266,-44.8983694624144,-79.8259203382412,180
"33-74","33-7",33,7,-57.1060606060606,-69.4798685057185,-47.0308869252168,-71.5865870986076,-33.6312525118312,-76.4440892298949,180
"33-84","33-8",33,8,-54.6581595774256,-69.0349461731887,-45.8965920548498,-67.4392613676295,-33.2425759817361,-77.1792114695341,180
"4-34","4-3",4,3,-49.1835016835017,-59.1482602339181,-54.5988736706128,-48.7971472788867,-60.7130092782693,-60.460969076489,180
"4-74","4-7",4,7,-49.6424242424242,-60.8043215324769,-62.7031419202318,-51.5168831168831,-49.8914072039072,-55.8682115270351,180
"4-84","4-8",4,8,-48.0606060606061,-61.2926291898066,-59.1110632183908,-49.5129316357305,-55.4319865319865,-53.8992048140984,180
"5-34","5-3",5,3,-44.7848484848485,-57.0283687943262,-53.5505571713002,-51.8037136700803,-56.5853835978836,-62.5463540919309,180
"5-74","5-7",5,7,-44.3143174867946,-57.5844264093003,-63.6728620412388,-53.3446451865098,-47.3128224894645,-59.7111965451864,180
"5-84","5-8",5,8,-46.6599110369753,-60.4735049457657,-61.0776471590425,-55.0112699285322,-53.2303595321783,-59.7549407114625,180
"6-34","6-3",6,3,-47.9689111624485,-56.4238319451203,-53.0359531772575,-54.499395974396,-55.6808794015691,-61.6087711680417,180
"6-74","6-7",6,7,-45.3757575757576,-60.3553595705987,-61.8945726056682,-57.0157155797101,-50.6843042831415,-60.146643437427,180
"6-84","6-8",6,8,-46.2012232415902,-58.1423078240388,-60.4106253248033,-52.9503154252636,-52.7189217716072,-63.8849311607932,180
"7-34","7-3",7,3,-47.0969696969697,-52.8474581616348,-54.4228663446055,-55.642479911118,-54.5157706456076,-62.4604555089106,180
"7-74","7-7",7,7,-44.2885521885522,-58.8160950965299,-58.6684844641725,-55.0184257521779,-52.4627819548872,-65.146599046407,180
"7-84","7-8",7,8,-47.9022518765638,-54.6796830786644,-59.4408739247526,-54.7479569446604,-52.6484841073983,-63.4762775768789,180
"8-34","8-3",8,3,-49.6727272727273,-53.3240398373638,-54.4009501233426,-50.0811620059193,-57.8321513002364,-64.8363983244163,180
"8-74","8-7",8,7,-44.5324993049764,-54.0139534112369,-59.3452994444377,-58.44660142287,-50.706285321146,-66.7382783882784,180
"8-84","8-8",8,8,-48.4384487072561,-55.3875467316189,-58.8659554730983,-59.4364604810997,-49.8419277955342,-62.8116971916972,180
"9-34","9-3",9,3,-48.9640255768696,-50.3488075549854,-52.5552536231884,-54.6571476817677,-56.5238095238095,-65.193341307815,180
"9-44","9-4",9,4,-45.2085552284686,-52.0684895691979,-52.3710338418558,-54.1963105413105,-56.3346796263926,-65.7002478986078,180
"9-74","9-7",9,7,-46.9757575757576,-51.2044303483644,-60.6445639187575,-58.0362371328292,-52.2089284546883,-68.6206611654132,180
"9-84","9-8",9,8,-50.4781484570475,-52.4466614879573,-57.5460852202998,-59.7425728987993,-50.8644506102978,-66.9692095407057,180
"0-05","0-0",0,0,-54.7636363636364,-67.0473424951603,-64.8338650770329,-36.2053090738013,-65.5075815657211,-56.1809227021993,225
"0-18","0-1",0,1,-52.2383653044203,-64.6756198177554,-65.3345436998079,-38.1966297400466,-67.0355343446708,-57.0572830669485,225
"0-105","0-10",0,10,-54.4529608006672,-63.591268869849,-67.6668581519806,-44.9287233687908,-66.2413105413105,-53.344972010793,225
"0-115","0-11",0,11,-55.3945505138166,-65.3477471057173,-65.6265945458643,-48.6390925382861,-66.7378972653363,-55.0110061033974,225
"0-125","0-12",0,12,-55.1090909090909,-67.0476198729459,-69.8487392958216,-43.7661245279297,-70.9654320987654,-53.6103531058888,225
"0-135","0-13",0,13,-54.2909090909091,-70.5371470531045,-71.8650470824384,-47.1253125568285,-69.6970453599667,-57.1985769544696,225
"0-25","0-2",0,2,-56.1316134316134,-62.2439716436403,-60.6569379738741,-43.8983305586385,-62.1335633809312,-56.107725846114,225
"0-35","0-3",0,3,-56.5636363636364,-64.2421939473115,-54.2616793087161,-39.8928875659315,-62.9000672403742,-56.6010966968414,225
"0-45","0-4",0,4,-54.9363636363636,-63.0652472732706,-58.2203081990885,-43.33735395189,-61.8152530459231,-53.5664632874426,225
"0-75","0-7",0,7,-55.6848484848485,-62.9067398119122,-63.1969683524188,-44.0143225861048,-53.6028039730167,-58.4396703296703,225
"0-85","0-8",0,8,-49.6575757575758,-65.5353356262593,-60.5825874485597,-46.9548557446843,-50.1385294240227,-58.0882277003211,225
"0-95","0-9",0,9,-48.4333333333333,-64.8558314047268,-63.3480066445183,-45.8426429295122,-61.1322978783822,-54.4030086261309,225
"1-05","1-0",1,0,-51.9,-63.8851486354776,-67.8333563599521,-33.6449622273152,-65.2011592620463,-57.7101356304985,225
"1-18","1-1",1,1,-55.1,-64.595179643052,-64.4025408348457,-36.5291489933307,-65.9080130610525,-57.1651408297419,225
"1-105","1-10",1,10,-51.8121212121212,-67.6519904258,-68.4315571510693,-48.7992966772405,-65.8325250442331,-52.8927490788295,225
"1-115","1-11",1,11,-53.3181818181818,-66.3188791384124,-68.8075631792109,-49.0665083593961,-65.0500891265597,-52.8749679198458,225
"1-125","1-12",1,12,-53.0848484848485,-69.4909742674948,-70.6299376226521,-44.6888909134515,-68.8493845546773,-55.6100573520157,225
"1-135","1-13",1,13,-57.5622463163748,-71.3646245059289,-74.080336175998,-45.0076193796048,-67.9018647573967,-51.8620395372871,225
"1-25","1-2",1,2,-57.5909090909091,-63.1920555030139,-57.8169143019527,-39.2685434442062,-64.516775723584,-57.3737316426678,225
"1-35","1-3",1,3,-56.7999165971643,-65.3881155881156,-53.850384455283,-39.8325499896928,-58.5865212692799,-60.8658554989625,225
"1-45","1-4",1,4,-51.4310064935065,-64.0347286474574,-58.8192428486546,-46.1697671376243,-59.6303104172822,-59.5926767073074,225
"1-55","1-5",1,5,-49.3757575757576,-64.943627988594,-63.4025807525808,-40.1018518518518,-61.2784029849158,-57.4370378675437,225
"1-65","1-6",1,6,-51.8151515151515,-65.4917929292929,-60.9690277503997,-47.8317252627604,-60.6514633514634,-56.2092136232562,225
"1-75","1-7",1,7,-52.6632809623635,-65.786827431126,-64.4963645969112,-47.7095268707315,-49.4187659283936,-53.9338877391749,225
"1-85","1-8",1,8,-52.3757575757576,-64.598278126309,-61.696896972759,-48.2206145063928,-49.2970374931582,-56.4257774173627,225
"1-95","1-9",1,9,-50.3030303030303,-62.8984640089319,-62.5052374637222,-47.9996264482136,-63.3278696180069,-49.836061166605,225
"10-35","10-3",10,3,-49.6030303030303,-52.9509399442844,-52.2103792719003,-54.4182568807339,-55.869690825048,-71.3420104697941,225
"10-45","10-4",10,4,-52.530303030303,-50.0256690858344,-53.9286669706642,-56.5256869772999,-55.4615254516954,-69.2347730230829,225
"10-55","10-5",10,5,-49.9606060606061,-47.512673463608,-53.4922420077059,-54.7708870523416,-56.8045941831843,-67.2288081314397,225
"10-65","10-6",10,6,-43.7636363636364,-50.6641145118606,-58.3439572287887,-57.6606452076636,-59.5606850194479,-63.3303231422043,225
"10-75","10-7",10,7,-45.5544064498193,-50.2089503815477,-62.4028275364482,-59.3673362490888,-52.5516546285212,-69.0104900617536,225
"10-85","10-8",10,8,-43.7656292656293,-53.8264953324398,-60.5933989901936,-58.3834318146478,-50.778369938742,-61.240462478048,225
"11-35","11-3",11,3,-49.7515151515152,-48.4591497232775,-54.4137135474345,-55.347061737715,-56.3306773425239,-69.5999574053791,225
"11-45","11-4",11,4,-52.0379482902419,-52.8673400673401,-53.1353078305808,-52.6691314150331,-60.1991815237892,-68.5103335587108,225
"11-55","11-5",11,5,-47.5621073116486,-48.1439208315613,-60.3107602978227,-58.5278668091168,-59.770984332809,-64.6797265288544,225
"11-65","11-6",11,6,-45.8666666666667,-50.4002274816027,-59.2432712215321,-57.1188461508563,-56.1663424697907,-69.2469138542203,225
"11-75","11-7",11,7,-46.3363636363636,-49.3303822539117,-58.3894325992292,-57.4038281979458,-49.0347850399658,-69.5510527146125,225
"11-85","11-8",11,8,-49.7840294840295,-50.4821894877804,-60.197069921804,-59.6930179091801,-48.5991836734694,-71.7905085811325,225
"12-35","12-3",12,3,-51.7951070336391,-42.9348222525632,-51.0381668946648,-58.9184097314938,-57.3239165412889,-71.112811468367,225
"12-45","12-4",12,4,-48.0383653044204,-48.3840026807832,-52.6609087835761,-58.5486955961183,-56.4442792816287,-68.5482345763746,225
"12-55","12-5",12,5,-49.1266333055324,-52.6831112786995,-59.5849571870092,-56.5921781655396,-56.5207954092335,-64.8055397090583,225
"12-65","12-6",12,6,-50.3545454545455,-50.3005691165355,-61.8354460409974,-57.4984510228167,-56.6752886138201,-70.4453881528155,225
"12-75","12-7",12,7,-49.1286627745343,-51.6925059123516,-57.4459193214453,-54.1467185716221,-47.3518063204826,-70.5188363663822,225
"12-85","12-8",12,8,-49.2363636363636,-51.0420735487871,-57.6916699853976,-57.6867676985324,-51.9193848732699,-70.2144045496987,225
"13-35","13-3",13,3,-50.4956790123457,-50.3847955085232,-54.1942938386112,-55.6334801332773,-57.936522352441,-70.4813483316243,225
"13-45","13-4",13,4,-50.7025298860161,-46.8150758216452,-55.0400050186436,-52.4608894256825,-58.6711936437546,-71.3402055919406,225
"13-55","13-5",13,5,-47.4454545454545,-47.8378171010933,-58.2553422312043,-50.6589988637007,-58.3271759296604,-70.7180129447471,225
"13-65","13-6",13,6,-44.2228774228774,-52.3101578462469,-57.7552161028763,-51.2361376528043,-60.0228214194307,-68.8331324734017,225
"13-75","13-7",13,7,-45.3915485126494,-48.6949610673015,-55.7026570048309,-56.8720641253557,-47.4727398205659,-68.2246178575293,225
"13-85","13-8",13,8,-53.761801501251,-51.3094967726512,-59.2581505847953,-61.3685645368948,-52.2320806371329,-70.4048947517521,225
"14-35","14-3",14,3,-52.7193665628245,-55.6463842820858,-50.1429948266266,-57.1390324587693,-58.5486037996152,-72.9663989290495,225
"14-75","14-7",14,7,-49.1732276897415,-55.4364998297583,-58.9343352430702,-56.3455959486345,-45.4653299916458,-67.8108296876199,225
"14-85","14-8",14,8,-49.3852932999722,-44.1297106704702,-58.9578754578755,-52.3074606034049,-49.703369719981,-68.1776011092378,225
"15-35","15-3",15,3,-53.6363636363636,-54.7185349708214,-52.5988190579358,-62.356026760586,-56.9243843325105,-71.461535240929,225
"15-75","15-7",15,7,-49.6175979983319,-52.8378447872838,-59.5076942870008,-58.2999241658241,-50.3495324551225,-73.8981356541442,225
"15-85","15-8",15,8,-49.5,-55.044631710362,-60.5929461106676,-55.1924205022031,-49.0528467265331,-67.3389631862611,225
"16-35","16-3",16,3,-56.1,-57.3385586618455,-52.9854862399505,-62.7566913204405,-57.7616794969736,-73.1533181275117,225
"16-75","16-7",16,7,-49.8834306366416,-54.4315855181024,-54.5686117467582,-58.6980163778606,-50.6416191197714,-71.0135451225191,225
"16-85","16-8",16,8,-54.3363636363636,-52.8893305276284,-59.5732431555216,-56.9957714521452,-51.05007204182,-72.4192013023235,225
"17-35","17-3",17,3,-51.0204892966361,-54.4489100410601,-57.0168469912509,-62.4443674208814,-56.0774342031998,-72.0401474701246,225
"17-75","17-7",17,7,-51.8242424242424,-57.9163262170793,-55.3253448833514,-57.5131166150671,-42.2622468349501,-71.9705768486256,225
"17-85","17-8",17,8,-53.2636363636364,-56.203479252166,-52.1218249544336,-59.0129457364341,-50.9207991611429,-71.7842083069787,225
"18-35","18-3",18,3,-52.5121212121212,-53.3485168716147,-49.7408414821979,-60.8024542124542,-58.0100813054301,-75.2689026184172,225
"18-75","18-7",18,7,-49.5281623575202,-60.0551251960891,-59.5205743547612,-60.9936615732881,-47.9271255127964,-73.120940888143,225
"18-85","18-8",18,8,-48.8878787878788,-59.6775091439934,-60.1980267794221,-60.9796171617162,-49.8629491725768,-76.6795472159457,225
"19-35","19-3",19,3,-56.0484848484848,-57.4776125834949,-51.3482515546469,-59.1172246032665,-56.1750886524823,-75.9319181487856,225
"19-75","19-7",19,7,-49.7878787878788,-61.1589787062847,-58.7097772242033,-54.2819718217776,-50.4669051700875,-73.7957353817066,225
"19-85","19-8",19,8,-50.8533222129552,-58.4163870038689,-55.1735693434677,-60.6878233730768,-48.0435263487589,-75.0416219153561,225
"2-05","2-0",2,0,-56.5097734097734,-63.5525625392602,-64.7091882654987,-30.4792530877434,-66.6592540574282,-60.8786414873371,225
"2-18","2-1",2,1,-54.1181818181818,-62.9659962906009,-64.6333333333333,-37.7888338513338,-62.0780423280423,-56.4199799412565,225
"2-105","2-10",2,10,-48.4471198471199,-62.7817389783263,-65.8953705856519,-43.5664120485224,-65.0694116010572,-54.9631385514881,225
"2-115","2-11",2,11,-54.6216216216216,-65.8091556210113,-69.0778743596204,-47.2526859068886,-68.7889648891362,-48.043253043253,225
"2-125","2-12",2,12,-53.8144781144781,-65.031238165048,-70.6117063492063,-45.4542705730853,-69.0152951812295,-52.6612340453637,225
"2-135","2-13",2,13,-56.1,-63.4140652280187,-71.5306482104521,-45.437014431941,-68.4427382438618,-49.6409323226233,225
"2-25","2-2",2,2,-51.3333333333333,-64.077595173705,-61.1490196078431,-37.4489218748052,-68.4646407437857,-52.6793900961963,225
"2-35","2-3",2,3,-54.1037531276063,-62.6777198282414,-59.9199792567187,-40.4995839112344,-58.1657831427004,-55.4242605220866,225
"2-45","2-4",2,4,-52.1233805949402,-60.6583875418884,-60.4249945852285,-43.134176085091,-58.1334906726473,-56.3770685579196,225
"2-55","2-5",2,5,-54.5121212121212,-65.5990365008571,-63.4551256891879,-42.2838474025974,-61.9339430894309,-59.021947134576,225
"2-65","2-6",2,6,-50.6666666666667,-65.1122317096128,-62.1185218580995,-43.3548102383054,-59.9637909982738,-55.1981854435444,225
"2-75","2-7",2,7,-48.884165984166,-67.7041853798376,-63.1986999373146,-45.5259504337892,-49.6729778704858,-57.3086239300352,225
"2-85","2-8",2,8,-50.5909090909091,-65.7710463196586,-61.5043439818552,-52.0227530364372,-52.0119370591427,-54.5162023644409,225
"2-95","2-9",2,9,-54.3060606060606,-64.5457823835661,-66.7841661616222,-48.6709798358113,-62.0209041293379,-50.3739456419869,225
"20-35","20-3",20,3,-58.0501529051988,-58.5397797895604,-52.2602632357291,-61.7672797563261,-55.1550363075928,-74.7935275158842,225
"20-75","20-7",20,7,-53.7275847156581,-63.4359950742265,-55.4793491864831,-66.0426130489198,-47.2127692047905,-73.6067027664966,225
"20-85","20-8",20,8,-53.330303030303,-60.2835210950965,-53.8429445512358,-64.7746372067649,-44.1563976730721,-71.9611535807188,225
"21-35","21-3",21,3,-60.0796497080901,-61.1141887548888,-47.4452349973639,-62.8918414753691,-52.6732267836165,-76.2210144927536,225
"21-45","21-4",21,4,-58.6975308641975,-63.3903849192242,-49.5559323841519,-62.856843331392,-53.100635758117,-76.6124031007752,225
"21-55","21-5",21,5,-57.226827912149,-62.4127773777303,-48.9820157948237,-67.5798896752378,-49.3242505702183,-78.0170988431858,225
"21-65","21-6",21,6,-57.8424242424242,-62.7147716082876,-51.8908591818894,-66.7393162393162,-44.5527221068881,-77.569911831233,225
"21-75","21-7",21,7,-56.9909090909091,-65.002358859917,-55.2652152551246,-62.7985894678314,-44.8085004042451,-71.5912877151316,225
"21-85","21-8",21,8,-52.6030303030303,-62.2229006392428,-56.1542833625073,-61.8157847795282,-50.9194651226909,-73.253880791563,225
"22-35","22-3",22,3,-57.8177926049486,-60.9416447582946,-49.3641734609477,-60.6059690218106,-53.1434105952117,-72.2567080582868,225
"22-45","22-4",22,4,-58.6381428968585,-59.7720730397422,-47.4262194239398,-60.2384020618557,-52.372929142141,-76.3757996537969,225
"22-55","22-5",22,5,-57.8,-61.8493473985339,-49.1136968085106,-66.5058750773036,-49.6988727858293,-75.984124509435,225
"22-65","22-6",22,6,-58.4662496524882,-60.5682039451145,-55.471594372516,-69.3124664919731,-47.2987824115153,-77.1401616150623,225
"22-75","22-7",22,7,-56.0917431192661,-65.1597308119139,-54.9492175680867,-62.9389028003469,-45.5188516000097,-70.6333764408757,225
"22-85","22-8",22,8,-56.4666666666667,-64.9162509448224,-54.1601438922996,-65.6727885781718,-48.0917615355002,-75.7506157635468,225
"23-35","23-3",23,3,-56.2121212121212,-64.0807012035583,-49.6074549953463,-66.7273097273097,-53.1706441509517,-78.6189606741573,225
"23-45","23-4",23,4,-57.9121212121212,-59.762899688738,-53.0019607843137,-62.3138461538461,-53.5903774712285,-76.6564859299931,225
"23-55","23-5",23,5,-57.1944444444444,-60.8406222108887,-52.7205457831109,-64.1179216200026,-48.475493025493,-80.2787251063113,225
"23-65","23-6",23,6,-57.7030303030303,-62.0731101378922,-54.9341083960974,-64.5887494600923,-46.7019308808664,-77.3070004070004,225
"23-75","23-7",23,7,-54.669696969697,-61.9113536682616,-53.97679123477,-59.5046798342612,-45.4730816941343,-73.5232480533927,225
"23-85","23-8",23,8,-55.5181818181818,-62.5303418006391,-55.0309480676328,-61.0907393320655,-45.1688946199585,-71.3045509029042,225
"24-35","24-3",24,3,-56.0909090909091,-62.7314184933233,-48.5669489132083,-60.7971574245302,-55.0549645390071,-76.1508360836084,225
"24-45","24-4",24,4,-59.0581595774256,-59.6536977408624,-48.9113174758336,-62.8249496181932,-51.2823192620945,-73.0726859542267,225
"24-55","24-5",24,5,-61.6005560189046,-62.5468085106383,-52.2304513203131,-64.5957497322746,-55.1975458833419,-78.3846640678743,225
"24-65","24-6",24,6,-59.8440366972477,-59.9650275807723,-51.1701661220044,-65.9677307315841,-53.593248956136,-76.6931852197756,225
"24-75","24-7",24,7,-57.6727272727273,-62.3295764195684,-54.5149481517702,-65.3864488017429,-48.1549856792034,-73.2391711539575,225
"24-85","24-8",24,8,-55.9212121212121,-64.5943695368427,-56.4761797541983,-64.132879793134,-42.6377994676131,-74.8907381361671,225
"25-35","25-3",25,3,-60.4242424242424,-64.1831076724694,-52.9449587912088,-62.0442763266404,-54.6049652220439,-76.8861212861213,225
"25-45","25-4",25,4,-56.4589380038921,-61.5197469703549,-47.7001670843776,-60.2025902613642,-51.3722773717319,-75.9690255265837,225
"25-75","25-7",25,7,-57.9212121212121,-61.8366261213372,-55.4832181724379,-63.6788061238988,-49.2688861317894,-76.8043099406696,225
"25-85","25-8",25,8,-55.6515151515151,-65.2101204092807,-53.5253142087381,-64.423633805374,-47.9535947712418,-76.7221944836403,225
"26-35","26-3",26,3,-58.0711148179038,-58.9610701051877,-49.9176017758838,-61.6723009024438,-50.0148989587192,-75.3048232323232,225
"26-45","26-4",26,4,-57.1849874895746,-65.351052631579,-48.6278766825879,-61.0443499153177,-51.9362690522945,-77.0474628035195,225
"26-55","26-5",26,5,-58.7939393939394,-58.9308716908953,-52.4402221965505,-66.9420784512621,-50.376627686937,-77.8342069807587,225
"26-65","26-6",26,6,-57.5333333333333,-63.1667864452279,-56.3402645863686,-67.8188224698863,-51.1621365787694,-76.9975383266522,225
"26-75","26-7",26,7,-55.8424242424242,-66.155349112359,-52.0026054388536,-66.5309463852321,-46.4437639965547,-71.8101787538304,225
"26-85","26-8",26,8,-57.9030303030303,-63.8774492497793,-50.9547095009196,-62.7865501424958,-42.2152927120669,-76.892110768358,225
"27-35","27-3",27,3,-57.3151515151515,-61.5936902628435,-44.1362195853489,-60.4175467921129,-49.1477958937198,-76.968558943027,225
"27-75","27-7",27,7,-49.7969140950792,-63.5131791485155,-55.6486335352315,-60.6078446981759,-42.6615240792372,-73.9941077441077,225
"27-85","27-8",27,8,-58.0843480678343,-65.4362363709786,-52.173309178744,-68.2896743577156,-40.1845621606161,-79.6928484405458,225
"28-35","28-3",28,3,-62.0431613431613,-62.1710581668565,-45.0925376957986,-61.5186301154043,-52.7727096273292,-78.6415599766664,225
"28-75","28-7",28,7,-54.8424242424242,-66.4744078144078,-52.0767954183608,-66.8767582862884,-40.174339369777,-78.5691481941482,225
"28-85","28-8",28,8,-55.669696969697,-67.8562289562289,-53.015723448406,-65.801222323513,-41.0788043029621,-78.1484739993566,225
"29-35","29-3",29,3,-61.3,-64.4015627398606,-46.7313655307185,-64.3210125448029,-53.2916994364341,-71.0198608590442,225
"29-75","29-7",29,7,-53.2125307125307,-67.5421080569595,-51.9082489740082,-67.0450847214539,-44.837770443711,-76.3856932654216,225
"29-85","29-8",29,8,-58.1324715040311,-64.1244961873638,-48.8772644927536,-64.778887586375,-44.5439132398646,-79.4701882824196,225
"3-35","3-3",3,3,-48.8199610786767,-58.2816287453334,-56.9654533198517,-45.9430304090498,-62.8698448113441,-60.2288052414736,225
"3-75","3-7",3,7,-48.3156241312205,-63.7861952861953,-63.1042496215003,-45.7969254811069,-53.6517304534546,-56.8219676899901,225
"3-85","3-8",3,8,-50.4515151515152,-65.7333507034914,-60.6932282922209,-49.7594443739246,-55.8234878547379,-57.9765654697694,225
"30-35","30-3",30,3,-61.4624078624079,-65.483312868406,-43.6738160860346,-63.8570848161612,-47.8031787933784,-75.8896161194459,225
"30-75","30-7",30,7,-54.960101010101,-66.6384612082751,-44.1458020989505,-66.6891025641026,-39.4970268188165,-77.968611334465,225
"30-85","30-8",30,8,-58.6878787878788,-62.7594177752072,-49.5793741267324,-65.4687416938654,-38.4705542657474,-79.0487664945496,225
"31-35","31-3",31,3,-57.9636363636364,-67.8856538993671,-42.4699805533902,-61.5691724270353,-43.8902844231792,-81.1937431152236,225
"31-75","31-7",31,7,-55.8110369752572,-69.2708256339862,-42.4992057117358,-68.7561129090255,-39.3502033649091,-79.3822078322541,225
"31-85","31-8",31,8,-56.6787878787879,-67.0459180542772,-47.5294624259014,-67.9674115169261,-41.1302434580074,-78.4975682753461,225
"32-35","32-3",32,3,-60.2606060606061,-66.6582990907786,-42.3864836823241,-63.4957940165313,-49.1120148727135,-79.3313104725695,225
