"","posXY","posX","posY","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90","angle"
"3-32","3-3",3,3,-50.1727550736725,-56.6609624614944,-58.5566300385422,-52.7847103068753,-60.3058121280713,-55.3769748121295,90
"3-72","3-7",3,7,-50.9636363636364,-61.819257855732,-59.5097127222982,-52.2552932047445,-47.7931972789116,-52.2924817302724,90
"3-82","3-8",3,8,-50.3757575757576,-64.058639568317,-61.013112806831,-51.2780630608217,-56.8204141305645,-54.4772486772487,90
"30-32","30-3",30,3,-61.2363636363636,-66.1385117698976,-43.6724816849817,-65.9565832164377,-42.3079253636939,-79.792643441985,90
"30-72","30-7",30,7,-59.1212121212121,-65.3914712928895,-49.1658916938288,-66.9150027065244,-41.8693426314786,-79.1935304838531,90
"30-82","30-8",30,8,-55.9909090909091,-64.7920087303379,-49.903073286052,-66.6092592592593,-42.4593562465903,-77.7061173533084,90
"31-32","31-3",31,3,-61.0606060606061,-70.110753979011,-42.9780023033224,-65.2143705967235,-43.16868698312,-80.3172640725832,90
"31-72","31-7",31,7,-58.0466499860995,-65.6283517870369,-45.4516885364577,-68.5171023321516,-40.5935741818095,-78.3508969051843,90
"31-82","31-8",31,8,-58.7248818459828,-66.5707407407407,-43.8152088258471,-68.133360520317,-42.6917492394404,-80.2237108190091,90
"32-32","32-3",32,3,-63.6212121212121,-69.9461592741226,-37.4914543546123,-70.2991375748812,-41.0304982817869,-80.2860377680936,90
"32-42","32-4",32,4,-63.7931537598204,-69.2231852184104,-41.4272434489826,-69.8538888888889,-40.4985356742807,-81.2167666174789,90
"32-52","32-5",32,5,-66.3312942509204,-70.1182406702209,-42.8561121418264,-69.9248503830851,-39.0652080711947,-78.123352410578,90
"32-62","32-6",32,6,-63.9575757575758,-68.0782291782292,-48.6073828090581,-71.8197181811456,-43.3808445060872,-80.5360047704234,90
"32-72","32-7",32,7,-57.8257158743397,-63.146586468002,-46.7699618120671,-65.627423510467,-38.1338377628551,-77.6185272748241,90
"32-82","32-8",32,8,-58.2606060606061,-70.6753176253176,-48.4247831448842,-68.3455475333526,-35.9079204339964,-81.897063253012,90
"33-32","33-3",33,3,-62.6060606060606,-68.2105102285343,-42.2474997162638,-68.7437905932926,-52.0444139194139,-81.6430719923102,90
"33-42","33-4",33,4,-58.8275507367251,-72.1543069289572,-44.7650952002221,-66.4640151515152,-46.2882154882155,-84.1199575781836,90
"33-72","33-7",33,7,-56.8424242424242,-68.5431039959342,-47.3843992521334,-66.6735254090801,-33.3961150485286,-73.9162005511724,90
"33-82","33-8",33,8,-56.8975535168196,-72.7924364123159,-46.5706417624521,-67.7885336356765,-32.8528709778194,-79.3365100472813,90
"4-32","4-3",4,3,-48.6216061322444,-59.3099747474747,-55.7705335547979,-52.4605747202397,-57.8089577950043,-59.0771729390681,90
"4-72","4-7",4,7,-48.2787878787879,-60.2096323265013,-60.9166481275491,-53.1157343196178,-46.4836818961819,-56.2209082945893,90
"4-82","4-8",4,8,-46.6030303030303,-61.5004291510612,-57.7308536742865,-49.4744569807291,-55.2099159000149,-58.9485620762216,90
"5-32","5-3",5,3,-46.4515151515152,-56.1285100694049,-54.478569337265,-52.6522718022718,-54.9016304347826,-65.7352157102157,90
"5-72","5-7",5,7,-46.2454545454545,-60.1422905525847,-61.4802287366455,-51.8280364900897,-47.8474611638647,-61.1501347936992,90
"5-82","5-8",5,8,-46.5121212121212,-60.8989574090506,-60.5977387502633,-56.4343111450188,-54.8187137270989,-60.3139063266941,90
"6-32","6-3",6,3,-47.3683829444891,-56.7107206861239,-53.9355016929485,-54.8288070523094,-53.5993257419742,-62.6123785224752,90
"6-72","6-7",6,7,-47.7203224909647,-62.1253196313987,-62.3077349007582,-52.61758469274,-51.2972027972028,-62.2038873175096,90
"6-82","6-8",6,8,-47.8212121212121,-58.156152478187,-59.7755796691354,-55.87071619313,-55.9212510200786,-62.5513174263932,90
"7-32","7-3",7,3,-43.5334445371143,-52.8637549374893,-53.9752484191509,-55.9359766399531,-57.4853154289196,-64.0655803808458,90
"7-72","7-7",7,7,-46.1606060606061,-59.1592519396867,-58.0581173204547,-56.085757684951,-52.0918334225944,-61.7054848056061,90
"7-82","7-8",7,8,-51.7606060606061,-55.1649203967659,-60.1520498183705,-55.3993797719977,-54.9258281274777,-64.8900709219858,90
"8-32","8-3",8,3,-50.1,-52.2896285102506,-53.1685304324289,-53.8258627946128,-57.5164353878883,-65.6577446789058,90
"8-72","8-7",8,7,-48.2520711704198,-56.7481960950764,-56.9986275211839,-59.0735261040989,-51.7626963419777,-66.8774948122996,90
"8-82","8-8",8,8,-47.2363636363636,-58.497255760252,-59.5373689586581,-60.1440797273797,-54.5788134564323,-63.938253968254,90
"9-32","9-3",9,3,-49.0242424242424,-50.513683450371,-51.7290079187211,-54.2558122478915,-56.0806652093781,-64.3234266517357,90
"9-42","9-4",9,4,-47.5122136269283,-53.0647742952888,-53.1886057604109,-60.093753766681,-59.5652181158424,-69.5105719232874,90
"9-72","9-7",9,7,-50.0580205726995,-49.8212088109747,-61.2559037892137,-59.3561329044958,-53.1410637973138,-65.8152343857013,90
"9-82","9-8",9,8,-46.5,-51.3246897163121,-61.6036195561367,-59.4820245465407,-52.9487886319836,-65.3413311485643,90
"0-03","0-0",0,0,-52.3724276972065,-66.1303883045456,-63.1926155969634,-35.5806283385231,-64.254107719037,-55.3378021429235,135
"0-16","0-1",0,1,-52.9818181818182,-65.3717697670969,-63.7294070158077,-39.3764897231646,-65.4486723528363,-59.1532771274619,135
"0-103","0-10",0,10,-56.3418404225744,-65.672383205204,-69.1604130493423,-44.7154455445545,-66.8578144987303,-50.4550171660424,135
"0-113","0-11",0,11,-54.7341951626355,-67.1759349691526,-70.3453839746793,-48.3468940207662,-66.7838346515972,-54.930537084399,135
"0-123","0-12",0,12,-56.030303030303,-70.4649252481294,-72.2875770372736,-45.1726449601247,-66.7269572115623,-50.4988633786848,135
"0-133","0-13",0,13,-54.5515151515152,-71.1921115921116,-72.58496083328,-43.3278399201446,-68.7261600315534,-54.4816019236332,135
"0-23","0-2",0,2,-54.5656565656566,-61.1854783866884,-62.5107285190499,-44.1025679555311,-60.2551072522983,-53.0329389253358,135
"0-33","0-3",0,3,-55.1606060606061,-61.4174980353823,-55.6551882816065,-42.1611137145268,-62.5725173668262,-53.883709273183,135
"0-43","0-4",0,4,-51.1606060606061,-64.9871340645467,-61.1472850426329,-39.8868181818182,-61.3791736107378,-52.4584444633602,135
"0-73","0-7",0,7,-54.9244335244335,-66.4468180899351,-64.4072800564133,-45.0742335373244,-53.6514786026981,-58.7014414333658,135
"0-83","0-8",0,8,-54.1245760355852,-67.1758013559104,-64.1579419132497,-46.7803197055534,-55.6552980159609,-54.3765884652981,135
"0-93","0-9",0,9,-50.6151515151515,-67.2481750752736,-66.4069380440348,-45.5089799449531,-61.4269732205779,-50.245762909975,135
"1-03","1-0",1,0,-50.5121212121212,-63.938001084701,-66.2989153108052,-32.3056200181616,-64.6423706652616,-56.2896245991322,135
"1-16","1-1",1,1,-55.1848484848485,-63.3900110076681,-66.6509361513869,-38.2077010514351,-68.144801427934,-53.6311888522415,135
