,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
366,States,Tennessee,2010,46,91,0
367,States,Texas,2010,46,447,3.58
368,States,Utah,2010,46,277,14.44
369,States,Vermont,2010,46,X,X
370,States,Virginia,2010,46,63,1.59
371,States,Washington,2010,46,152,3.29
372,States,West Virginia,2010,46,176,2.84
373,States,Wisconsin,2010,46,122,1.64
374,States,Wyoming,2010,46,20,0
375,States,Puerto Rico,2010,46,X,X
376,States,Virgin Islands,2010,46,0,0
377,States,New York City,2010,46,X,X
378,States,Alabama,2010,47,97,17.53
379,States,Alaska,2010,47,29,0
380,States,Arizona,2010,47,69,13.04
381,States,Arkansas,2010,47,36,5.56
382,States,California,2010,47,223,2.69
383,States,Colorado,2010,47,205,5.37
384,States,Connecticut,2010,47,79,2.53
385,States,Delaware,2010,47,69,0
386,States,District of Columbia,2010,47,X,X
387,States,Florida,2010,47,X,X
388,States,Georgia,2010,47,861,18.82
389,States,Hawaii,2010,47,163,7.36
390,States,Idaho,2010,47,X,X
391,States,Illinois,2010,47,38,13.16
392,States,Indiana,2010,47,84,0
393,States,Iowa,2010,47,43,2.33
394,States,Kansas,2010,47,11,0
395,States,Kentucky,2010,47,51,7.84
396,States,Louisiana,2010,47,136,6.62
397,States,Maine,2010,47,X,X
398,States,Maryland,2010,47,26,3.85
399,States,Massachusetts,2010,47,21,0
400,States,Michigan,2010,47,X,X
401,States,Minnesota,2010,47,104,15.38
402,States,Mississippi,2010,47,X,X
403,States,Missouri,2010,47,184,0.54
404,States,Montana,2010,47,33,6.06
405,States,Nebraska,2010,47,39,0
406,States,Nevada,2010,47,X,X
407,States,New Hampshire,2010,47,11,18.18
408,States,New Jersey,2010,47,X,X
409,States,New Mexico,2010,47,X,X
410,States,New York,2010,47,534,5.24
411,States,North Carolina,2010,47,12,33.33
412,States,North Dakota,2010,47,49,4.08
413,States,Ohio,2010,47,64,3.13
414,States,Oklahoma,2010,47,48,2.08
415,States,Oregon,2010,47,11,0
416,States,Pennsylvania,2010,47,135,13.33
417,States,Rhode Island,2010,47,X,X
418,States,South Carolina,2010,47,61,3.28
419,States,South Dakota,2010,47,23,4.35
420,States,Tennessee,2010,47,29,0
421,States,Texas,2010,47,446,6.05
422,States,Utah,2010,47,294,12.59
423,States,Vermont,2010,47,X,X
424,States,Virginia,2010,47,31,3.23
425,States,Washington,2010,47,143,4.9
426,States,West Virginia,2010,47,147,0
427,States,Wisconsin,2010,47,91,3.3
428,States,Wyoming,2010,47,16,0
429,States,Puerto Rico,2010,47,X,X
430,States,Virgin Islands,2010,47,0,0
431,States,New York City,2010,47,X,X
432,States,Alabama,2010,48,89,17.98
433,States,Alaska,2010,48,36,0
434,States,Arizona,2010,48,104,13.46
435,States,Arkansas,2010,48,27,7.41
436,States,California,2010,48,327,4.89
437,States,Colorado,2010,48,196,4.59
438,States,Connecticut,2010,48,97,3.09
439,States,Delaware,2010,48,90,5.56
440,States,District of Columbia,2010,48,13,0
441,States,Florida,2010,48,X,X
442,States,Georgia,2010,48,740,17.97
443,States,Hawaii,2010,48,123,13.82
444,States,Idaho,2010,48,X,X
445,States,Illinois,2010,48,32,18.75
446,States,Indiana,2010,48,114,2.63
447,States,Iowa,2010,48,75,5.33
448,States,Kansas,2010,48,14,7.14
449,States,Kentucky,2010,48,20,70
450,States,Louisiana,2010,48,178,4.49
451,States,Maine,2010,48,X,X
452,States,Maryland,2010,48,25,16
453,States,Massachusetts,2010,48,27,0
454,States,Michigan,2010,48,X,X
455,States,Minnesota,2010,48,118,7.63
456,States,Mississippi,2010,48,X,X
457,States,Missouri,2010,48,181,1.66
458,States,Montana,2010,48,20,5
459,States,Nebraska,2010,48,20,0
460,States,Nevada,2010,48,X,X
461,States,New Hampshire,2010,48,27,0
462,States,New Jersey,2010,48,X,X
463,States,New Mexico,2010,48,16,25
464,States,New York,2010,48,654,5.5
465,States,North Carolina,2010,48,23,30.43
466,States,North Dakota,2010,48,44,2.27
467,States,Ohio,2010,48,38,7.89
468,States,Oklahoma,2010,48,50,10
469,States,Oregon,2010,48,10,10
470,States,Pennsylvania,2010,48,206,9.22
471,States,Rhode Island,2010,48,X,X
472,States,South Carolina,2010,48,109,3.67
473,States,South Dakota,2010,48,24,12.5
474,States,Tennessee,2010,48,37,5.41
475,States,Texas,2010,48,520,4.81
476,States,Utah,2010,48,341,15.25
477,States,Vermont,2010,48,X,X
478,States,Virginia,2010,48,42,0
479,States,Washington,2010,48,175,5.14
480,States,West Virginia,2010,48,152,1.32
481,States,Wisconsin,2010,48,119,4.2
482,States,Wyoming,2010,48,21,9.52
483,States,Puerto Rico,2010,48,X,X
484,States,Virgin Islands,2010,48,0,0
485,States,New York City,2010,48,X,X
486,States,Alabama,2010,49,106,35.85
487,States,Alaska,2010,49,37,5.41
488,States,Arizona,2010,49,140,39.29
489,States,Arkansas,2010,49,20,5
490,States,California,2010,49,324,5.56
491,States,Colorado,2010,49,245,5.31
492,States,Connecticut,2010,49,112,20.54
493,States,Delaware,2010,49,92,2.17
494,States,District of Columbia,2010,49,13,0
495,States,Florida,2010,49,X,X
496,States,Georgia,2010,49,764,18.32
497,States,Hawaii,2010,49,184,15.76
498,States,Idaho,2010,49,X,X
499,States,Illinois,2010,49,52,28.85
500,States,Indiana,2010,49,108,4.63
501,States,Iowa,2010,49,82,3.66
502,States,Kansas,2010,49,X,X
503,States,Kentucky,2010,49,75,25.33
504,States,Louisiana,2010,49,217,5.99
505,States,Maine,2010,49,X,X
506,States,Maryland,2010,49,41,19.51
507,States,Massachusetts,2010,49,24,8.33
508,States,Michigan,2010,49,13,46.15
509,States,Minnesota,2010,49,148,10.14
510,States,Mississippi,2010,49,X,X
511,States,Missouri,2010,49,226,4.42
512,States,Montana,2010,49,45,6.67
513,States,Nebraska,2010,49,41,2.44
514,States,Nevada,2010,49,19,36.84
515,States,New Hampshire,2010,49,19,5.26
516,States,New Jersey,2010,49,X,X
517,States,New Mexico,2010,49,21,14.29
518,States,New York,2010,49,538,11.9
519,States,North Carolina,2010,49,16,25
520,States,North Dakota,2010,49,45,6.67
521,States,Ohio,2010,49,28,0
522,States,Oklahoma,2010,49,55,10.91
523,States,Oregon,2010,49,16,0
524,States,Pennsylvania,2010,49,191,16.23
525,States,Rhode Island,2010,49,X,X
526,States,South Carolina,2010,49,132,3.79
527,States,South Dakota,2010,49,31,16.13
528,States,Tennessee,2010,49,60,10
529,States,Texas,2010,49,549,8.93
530,States,Utah,2010,49,387,28.68
531,States,Vermont,2010,49,X,X
532,States,Virginia,2010,49,60,10
533,States,Washington,2010,49,206,3.4
534,States,West Virginia,2010,49,147,2.04
535,States,Wisconsin,2010,49,136,2.21
536,States,Wyoming,2010,49,19,0
537,States,Puerto Rico,2010,49,X,X
538,States,Virgin Islands,2010,49,0,0
539,States,New York City,2010,49,X,X
540,States,Alabama,2010,50,130,43.08
541,States,Alaska,2010,50,30,3.33
542,States,Arizona,2010,50,175,50.86
543,States,Arkansas,2010,50,30,13.33
544,States,California,2010,50,321,5.3
545,States,Colorado,2010,50,259,8.88
546,States,Connecticut,2010,50,110,19.09
547,States,Delaware,2010,50,98,5.1
