pdq,Seasonal PDQ,AIC
"(3, 0, 0)","(0, 1, 1, 52)",1744.3277949530711
"(3, 0, 0)","(1, 0, 0, 52)",2565.445886441034
"(3, 0, 0)","(1, 0, 1, 52)",4351.930488131865
"(3, 0, 0)","(1, 1, 0, 52)",1717.903983795479
"(3, 0, 0)","(1, 1, 1, 52)",1709.0951671096113
"(3, 0, 0)","(2, 0, 0, 52)",1709.7975829537966
"(3, 0, 0)","(2, 0, 1, 52)",1795.1558109920409
"(3, 0, 0)","(2, 1, 0, 52)",803.3870377235553
"(3, 0, 0)","(2, 1, 1, 52)",798.8600315605986
"(3, 0, 0)","(3, 0, 0, 52)",792.8552795031376
"(3, 0, 0)","(3, 0, 1, 52)",1503.4541117525303
"(3, 0, 0)","(3, 1, 0, 52)",14.0
"(3, 0, 0)","(3, 1, 1, 52)",16.0
"(3, 0, 0)","(4, 0, 0, 52)",16.0
"(3, 0, 0)","(4, 0, 1, 52)",18.0
"(3, 0, 0)","(4, 1, 0, 52)",16.0
"(3, 0, 0)","(4, 1, 1, 52)",18.0
"(3, 0, 1)","(0, 0, 0, 52)",3402.8975515094444
"(3, 0, 1)","(0, 0, 1, 52)",11572.825365722883
"(3, 0, 1)","(0, 1, 0, 52)",2617.1875638996908
"(3, 0, 1)","(0, 1, 1, 52)",1725.9096327395466
"(3, 0, 1)","(1, 0, 0, 52)",2566.8056989277784
"(3, 0, 1)","(1, 0, 1, 52)",11336.544233124114
"(3, 0, 1)","(1, 1, 0, 52)",1719.2725178446753
"(3, 0, 1)","(1, 1, 1, 52)",1716.1209938370953
"(3, 0, 1)","(2, 0, 0, 52)",1711.2532310483928
"(3, 0, 1)","(2, 0, 1, 52)",3533.932460214773
"(3, 0, 1)","(2, 1, 0, 52)",805.3548484049846
"(3, 0, 1)","(2, 1, 1, 52)",821.1432636815497
"(3, 0, 1)","(3, 0, 0, 52)",801.3434946378297
"(3, 0, 1)","(3, 0, 1, 52)",1115.0965339999377
"(3, 0, 1)","(3, 1, 0, 52)",16.0
"(3, 0, 1)","(3, 1, 1, 52)",18.0
"(3, 0, 1)","(4, 0, 0, 52)",18.0
"(3, 0, 1)","(4, 0, 1, 52)",20.0
"(3, 0, 1)","(4, 1, 0, 52)",18.0
"(3, 0, 1)","(4, 1, 1, 52)",20.0
"(3, 1, 0)","(0, 0, 0, 52)",3393.052407159181
"(3, 1, 0)","(0, 0, 1, 52)",7572.161169338296
"(3, 1, 0)","(0, 1, 0, 52)",2618.0612167864747
"(3, 1, 0)","(0, 1, 1, 52)",1729.326314111622
"(3, 1, 0)","(1, 0, 0, 52)",2554.285870789806
"(3, 1, 0)","(1, 0, 1, 52)",4865.039150081615
"(3, 1, 0)","(1, 1, 0, 52)",1707.0419007047722
"(3, 1, 0)","(1, 1, 1, 52)",1699.606849612151
"(3, 1, 0)","(2, 0, 0, 52)",1696.164166843529
"(3, 1, 0)","(2, 0, 1, 52)",3062.066821978583
"(3, 1, 0)","(2, 1, 0, 52)",791.008321354768
"(3, 1, 0)","(2, 1, 1, 52)",793.3881820419522
"(3, 1, 0)","(3, 0, 0, 52)",789.3824218826065
"(3, 1, 0)","(3, 0, 1, 52)",821.3766253937495
"(3, 1, 0)","(3, 1, 0, 52)",14.0
"(3, 1, 0)","(3, 1, 1, 52)",16.0
"(3, 1, 0)","(4, 0, 0, 52)",16.0
"(3, 1, 0)","(4, 0, 1, 52)",18.0
"(3, 1, 0)","(4, 1, 0, 52)",16.0
