,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
163,States,Alaska,2010,43,37,0,0,0,0,0,0,0,0
164,States,Arizona,2010,43,44,4.55,0,0,1,0,0,1,0
165,States,Arkansas,2010,43,15,6.67,0,0,1,0,0,0,0
166,States,California,2010,43,168,1.79,1,0,2,0,0,0,0
167,States,Colorado,2010,43,162,1.85,0,0,1,2,0,0,0
168,States,Connecticut,2010,43,77,2.6,0,0,1,0,0,1,0
169,States,Delaware,2010,43,95,0,0,0,0,0,0,0,0
170,States,District of Columbia,2010,43,15,0,0,0,0,0,0,0,0
171,States,Florida,2010,43,X,X,X,X,X,X,X,X,X
172,States,Georgia,2010,43,234,2.99,0,0,0,0,0,7,0
173,States,Hawaii,2010,43,133,12.03,5,0,6,2,0,3,0
174,States,Idaho,2010,43,X,X,X,X,X,X,X,X,X
175,States,Illinois,2010,43,49,0,0,0,0,0,0,0,0
176,States,Indiana,2010,43,96,0,0,0,0,0,0,0,0
177,States,Iowa,2010,43,47,2.13,0,0,0,1,0,0,0
178,States,Kansas,2010,43,11,0,0,0,0,0,0,0,0
179,States,Kentucky,2010,43,48,0,0,0,0,0,0,0,0
180,States,Louisiana,2010,43,102,4.9,0,0,0,5,0,0,0
181,States,Maine,2010,43,X,X,X,X,X,X,X,X,X
182,States,Maryland,2010,43,34,2.94,0,0,1,0,0,0,0
183,States,Massachusetts,2010,43,22,4.55,0,0,1,0,0,0,0
184,States,Michigan,2010,43,X,X,X,X,X,X,X,X,X
185,States,Minnesota,2010,43,95,5.26,0,0,5,0,0,0,0
186,States,Mississippi,2010,43,X,X,X,X,X,X,X,X,X
187,States,Missouri,2010,43,186,0,0,0,0,0,0,0,0
188,States,Montana,2010,43,X,X,X,X,X,X,X,X,X
189,States,Nebraska,2010,43,33,0,0,0,0,0,0,0,0
190,States,Nevada,2010,43,X,X,X,X,X,X,X,X,X
191,States,New Hampshire,2010,43,17,0,0,0,0,0,0,0,0
192,States,New Jersey,2010,43,X,X,X,X,X,X,X,X,X
193,States,New Mexico,2010,43,19,0,0,0,0,0,0,0,0
194,States,New York,2010,43,294,1.36,0,0,2,2,0,0,0
195,States,North Carolina,2010,43,10,0,0,0,0,0,0,0,0
196,States,North Dakota,2010,43,30,0,0,0,0,0,0,0,0
197,States,Ohio,2010,43,65,1.54,0,0,1,0,0,0,0
198,States,Oklahoma,2010,43,44,2.27,1,0,0,0,0,0,0
199,States,Oregon,2010,43,16,0,0,0,0,0,0,0,0
200,States,Pennsylvania,2010,43,159,1.26,0,0,2,0,0,0,0
201,States,Rhode Island,2010,43,X,X,X,X,X,X,X,X,X
202,States,South Carolina,2010,43,109,0,0,0,0,0,0,0,0
203,States,South Dakota,2010,43,28,0,0,0,0,0,0,0,0
204,States,Tennessee,2010,43,59,1.69,1,0,0,0,0,0,0
205,States,Texas,2010,43,390,2.56,0,0,3,1,0,6,0
206,States,Utah,2010,43,212,4.72,5,0,3,1,0,1,0
207,States,Vermont,2010,43,X,X,X,X,X,X,X,X,X
208,States,Virginia,2010,43,39,0,0,0,0,0,0,0,0
209,States,Washington,2010,43,170,3.53,0,0,5,0,0,1,0
210,States,West Virginia,2010,43,150,0,0,0,0,0,0,0,0
211,States,Wisconsin,2010,43,89,1.12,0,0,1,0,0,0,0
212,States,Wyoming,2010,43,35,0,0,0,0,0,0,0,0
213,States,Puerto Rico,2010,43,X,X,X,X,X,X,X,X,X
214,States,Virgin Islands,2010,43,0,0,0,0,0,0,0,0,0
215,States,New York City,2010,43,X,X,X,X,X,X,X,X,X
216,States,Alabama,2010,44,69,15.94,0,0,4,0,0,7,0
217,States,Alaska,2010,44,32,0,0,0,0,0,0,0,0
218,States,Arizona,2010,44,67,1.49,0,0,1,0,0,0,0
219,States,Arkansas,2010,44,17,5.88,0,0,1,0,0,0,0
220,States,California,2010,44,229,3.06,1,0,2,0,0,4,0
221,States,Colorado,2010,44,163,1.23,0,0,0,2,0,0,0
222,States,Connecticut,2010,44,68,0,0,0,0,0,0,0,0
223,States,Delaware,2010,44,96,0,0,0,0,0,0,0,0
224,States,District of Columbia,2010,44,X,X,X,X,X,X,X,X,X
225,States,Florida,2010,44,X,X,X,X,X,X,X,X,X
226,States,Georgia,2010,44,353,7.93,0,0,0,1,0,27,0
227,States,Hawaii,2010,44,184,5.43,3,0,2,1,0,4,0
228,States,Idaho,2010,44,X,X,X,X,X,X,X,X,X
229,States,Illinois,2010,44,51,3.92,0,0,2,0,0,0,0
230,States,Indiana,2010,44,89,0,0,0,0,0,0,0,0
231,States,Iowa,2010,44,64,1.56,0,0,0,0,0,1,0
232,States,Kansas,2010,44,14,7.14,1,0,0,0,0,0,0
233,States,Kentucky,2010,44,49,4.08,2,0,0,0,0,0,0
234,States,Louisiana,2010,44,114,5.26,0,0,0,4,0,2,0
235,States,Maine,2010,44,11,0,0,0,0,0,0,0,0
236,States,Maryland,2010,44,32,3.13,0,0,1,0,0,0,0
237,States,Massachusetts,2010,44,21,4.76,0,0,1,0,0,0,0
238,States,Michigan,2010,44,X,X,X,X,X,X,X,X,X
239,States,Minnesota,2010,44,86,1.16,0,0,1,0,0,0,0
240,States,Mississippi,2010,44,X,X,X,X,X,X,X,X,X
241,States,Missouri,2010,44,178,0.56,0,0,0,1,0,0,0
242,States,Montana,2010,44,10,0,0,0,0,0,0,0,0
243,States,Nebraska,2010,44,17,0,0,0,0,0,0,0,0
244,States,Nevada,2010,44,X,X,X,X,X,X,X,X,X
245,States,New Hampshire,2010,44,19,5.26,0,0,1,0,0,0,0
246,States,New Jersey,2010,44,X,X,X,X,X,X,X,X,X
247,States,New Mexico,2010,44,22,0,0,0,0,0,0,0,0
248,States,New York,2010,44,360,2.5,0,0,7,1,0,1,0
249,States,North Carolina,2010,44,17,0,0,0,0,0,0,0,0
250,States,North Dakota,2010,44,27,3.7,0,0,0,1,0,0,0
251,States,Ohio,2010,44,54,1.85,0,0,0,1,0,0,0
252,States,Oklahoma,2010,44,39,0,0,0,0,0,0,0,0
253,States,Oregon,2010,44,17,0,0,0,0,0,0,0,0
254,States,Pennsylvania,2010,44,161,4.35,2,0,3,0,0,2,0
255,States,Rhode Island,2010,44,X,X,X,X,X,X,X,X,X
256,States,South Carolina,2010,44,73,0,0,0,0,0,0,0,0
257,States,South Dakota,2010,44,21,0,0,0,0,0,0,0,0
258,States,Tennessee,2010,44,70,0,0,0,0,0,0,0,0
259,States,Texas,2010,44,395,2.78,0,0,1,4,0,6,0
260,States,Utah,2010,44,270,8.89,2,0,15,5,0,2,0
261,States,Vermont,2010,44,X,X,X,X,X,X,X,X,X
262,States,Virginia,2010,44,56,0,0,0,0,0,0,0,0
263,States,Washington,2010,44,135,1.48,0,0,1,0,0,1,0
264,States,West Virginia,2010,44,129,0,0,0,0,0,0,0,0
265,States,Wisconsin,2010,44,117,1.71,0,0,2,0,0,0,0
266,States,Wyoming,2010,44,32,0,0,0,0,0,0,0,0
267,States,Puerto Rico,2010,44,X,X,X,X,X,X,X,X,X
268,States,Virgin Islands,2010,44,0,0,0,0,0,0,0,0,0
269,States,New York City,2010,44,X,X,X,X,X,X,X,X,X
270,States,Alabama,2010,45,107,12.15,0,0,2,0,0,11,0
271,States,Alaska,2010,45,45,4.44,0,0,1,0,0,1,0
272,States,Arizona,2010,45,82,3.66,0,0,2,0,0,1,0
273,States,Arkansas,2010,45,19,10.53,0,0,2,0,0,0,0
274,States,California,2010,45,213,3.29,0,0,1,1,0,5,0
