,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
735,States,North Carolina,2016,1,188,3,3,3.19,1.6,1.6
736,States,North Dakota,2016,1,26,0,0,0,0,0
737,States,Ohio,2016,1,865,3,5,0.92,0.35,0.58
738,States,Oklahoma,2016,1,209,1,1,0.96,0.48,0.48
739,States,Oregon,2016,1,269,7,9,5.95,2.6,3.35
740,States,Pennsylvania,2016,1,690,3,2,0.72,0.43,0.29
741,States,Rhode Island,2016,1,X,X,X,X,X,X
742,States,South Carolina,2016,1,314,4,0,1.27,1.27,0
743,States,South Dakota,2016,1,169,0,0,0,0,0
744,States,Tennessee,2016,1,287,1,7,2.79,0.35,2.44
745,States,Texas,2016,1,1668,27,12,2.34,1.62,0.72
746,States,Utah,2016,1,739,28,25,7.17,3.79,3.38
747,States,Vermont,2016,1,161,1,2,1.86,0.62,1.24
748,States,Virginia,2016,1,300,2,0,0.67,0.67,0
749,States,Washington,2016,1,435,7,15,5.06,1.61,3.45
750,States,West Virginia,2016,1,517,0,1,0.19,0,0.19
751,States,Wisconsin,2016,1,935,12,1,1.39,1.28,0.11
752,States,Wyoming,2016,1,22,0,0,0,0,0
753,States,Puerto Rico,2016,1,0,0,0,0,0,0
754,States,Virgin Islands,2016,1,X,X,X,X,X,X
755,States,New York City,2016,1,X,X,X,X,X,X
756,States,Alabama,2016,2,272,5,3,2.94,1.84,1.1
757,States,Alaska,2016,2,X,X,X,X,X,X
758,States,Arizona,2016,2,91,12,2,15.38,13.19,2.2
759,States,Arkansas,2016,2,42,0,0,0,0,0
760,States,California,2016,2,1477,109,39,10.02,7.38,2.64
761,States,Colorado,2016,2,510,7,1,1.57,1.37,0.2
762,States,Connecticut,2016,2,384,16,1,4.43,4.17,0.26
763,States,Delaware,2016,2,114,1,0,0.88,0.88,0
764,States,District of Columbia,2016,2,X,X,X,X,X,X
765,States,Florida,2016,2,X,X,X,X,X,X
766,States,Georgia,2016,2,573,5,1,1.05,0.87,0.17
767,States,Hawaii,2016,2,130,6,1,5.38,4.62,0.77
768,States,Idaho,2016,2,X,X,X,X,X,X
769,States,Illinois,2016,2,425,15,1,3.76,3.53,0.24
770,States,Indiana,2016,2,119,0,0,0,0,0
771,States,Iowa,2016,2,88,1,0,1.14,1.14,0
772,States,Kansas,2016,2,114,0,1,0.88,0,0.88
773,States,Kentucky,2016,2,292,3,3,2.05,1.03,1.03
774,States,Louisiana,2016,2,632,7,3,1.58,1.11,0.47
775,States,Maine,2016,2,55,1,0,1.82,1.82,0
776,States,Maryland,2016,2,26,0,0,0,0,0
777,States,Massachusetts,2016,2,360,8,1,2.5,2.22,0.28
778,States,Michigan,2016,2,650,21,2,3.54,3.23,0.31
779,States,Minnesota,2016,2,333,4,0,1.2,1.2,0
780,States,Mississippi,2016,2,119,2,0,1.68,1.68,0
781,States,Missouri,2016,2,490,12,0,2.45,2.45,0
782,States,Montana,2016,2,63,0,0,0,0,0
783,States,Nebraska,2016,2,63,0,0,0,0,0
784,States,Nevada,2016,2,27,1,0,3.7,3.7,0
785,States,New Hampshire,2016,2,22,1,0,4.55,4.55,0
786,States,New Jersey,2016,2,X,X,X,X,X,X
787,States,New Mexico,2016,2,301,7,4,3.65,2.33,1.33
788,States,New York,2016,2,1857,37,9,2.48,1.99,0.48
789,States,North Carolina,2016,2,169,5,3,4.73,2.96,1.78
790,States,North Dakota,2016,2,19,0,1,5.26,0,5.26
791,States,Ohio,2016,2,844,3,2,0.59,0.36,0.24
792,States,Oklahoma,2016,2,189,1,2,1.59,0.53,1.06
793,States,Oregon,2016,2,285,12,20,11.23,4.21,7.02
794,States,Pennsylvania,2016,2,608,3,3,0.99,0.49,0.49
795,States,Rhode Island,2016,2,X,X,X,X,X,X
796,States,South Carolina,2016,2,270,1,0,0.37,0.37,0
797,States,South Dakota,2016,2,168,0,0,0,0,0
